"ID_PrecioDiario","Declaracion","Fecha","Fecha_anterior","Oferta","Precio","PrecioAnterior","Publico","Establecimiento","Feria_id","Presentacion_Producto"
173358912,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",699,"\N",42
173358913,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",700,"\N",42
173358914,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",701,"\N",42
173358915,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",702,"\N",42
173358916,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",703,"\N",42
173358917,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",704,"\N",42
173358918,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",705,"\N",42
173358919,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",706,"\N",42
173358920,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",707,"\N",42
173358921,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",708,"\N",42
173358922,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",709,"\N",42
173358923,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",710,"\N",42
173358924,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",738,"\N",42
173358925,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",739,"\N",42
173358926,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",740,"\N",42
173358927,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",741,"\N",42
173358928,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",742,"\N",42
173358929,2025-01-01 04:00:15,2025-01-01,"\N",0,195,"\N","\N",939,"\N",42
173358930,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",699,"\N",43
173358931,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",700,"\N",43
173358932,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",701,"\N",43
173358933,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",702,"\N",43
173358934,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",703,"\N",43
173358935,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",704,"\N",43
173358936,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",705,"\N",43
173358937,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",706,"\N",43
173358938,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",707,"\N",43
173358939,2025-01-01 04:00:15,2025-01-01,"\N",0,235,"\N","\N",708,"\N",43
